date,opponent,utd_score,opponent_score,confidence,notes,source_title
1/26/2016,UD 1,12,2,high,,"Recap of Men, and a weekend full of rugby for guys & ladies"
1/26/2016,UD 1,29,9,high,,"Recap of Men, and a weekend full of rugby for guys & ladies"
1/26/2016,UD,12,12,high,,"Recap of Men, and a weekend full of rugby for guys & ladies"
1/26/2016,UD,29,19,high,,"Recap of Men, and a weekend full of rugby for guys & ladies"
11/22/2015,LTU,10,5,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,LTU 1,17,2,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,ASU 2,14,9,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,ASU 4,14,8,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,was LTU,0,5,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,LTU,17,12,high,,Recap of Ladies Playoff & Men's League Matches
11/22/2015,ASU,14,29,high,,Recap of Ladies Playoff & Men's League Matches
11/15/2015,Letourneau 1,52,5,high,,Recap of Ladies Playoff Match
11/15/2015,Letourneau,52,15,high,,Recap of Ladies Playoff Match
10/18/2015,SHSU,19,7,high,,UT Dallas Women and Men in action this past Saturday
10/18/2015,Sam Houston,31,19,high,,UT Dallas Women and Men in action this past Saturday
10/18/2015,was UTSA,0,24,high,,UT Dallas Women and Men in action this past Saturday
10/18/2015,score UTSA,17,53,high,,UT Dallas Women and Men in action this past Saturday
10/11/2015,TCU 1,15,2,high,,UTD vs TCU Women's Rugby and UNT Men's rugby
10/11/2015,Letourneau,29,7,high,,UTD vs TCU Women's Rugby and UNT Men's rugby
10/11/2015,Letourneau,55,7,high,,UTD vs TCU Women's Rugby and UNT Men's rugby
10/11/2015,TCU,15,12,high,,UTD vs TCU Women's Rugby and UNT Men's rugby
10/11/2015,Unknown,0,12,medium,Score from narrative (opponent unknown),UTD vs TCU Women's Rugby and UNT Men's rugby
10/4/2015,to,24,0,high,,St. Edward’s H.O.T (Heart of Texas) Tournament
9/13/2015,score SFA,12,17,high,,"Friday night lights, except it's Rugby at UT Dallas"
3/1/2015,ASU 2,12,4,high,,Recap of Sam Houston St. and ASU matches
3/1/2015,ASU,12,24,high,,Recap of Sam Houston St. and ASU matches
2/22/2015,UD 1,5,5,high,,Recap of UD match and preview of this coming weekend
2/22/2015,UD 2,22,7,high,,Recap of UD match and preview of this coming weekend
2/22/2015,UD,5,15,high,,Recap of UD match and preview of this coming weekend
2/22/2015,UD,22,27,high,,Recap of UD match and preview of this coming weekend
12/7/2014,ASU,19,55,high,,Recap of ASU Men and Women's Matches
11/23/2014,Letourneau,14,3,high,,Recap of Men's Letourneau match
11/9/2014,now MSU,14,15,high,,Recap of MSU & Lamar Women's matches plus next weekend
11/2/2014,SMU 1,13,0,high,,Last week the Men hosted cross town rival SMU
11/2/2014,SMU 1,13,5,high,,Last week the Men hosted cross town rival SMU
11/2/2014,SMU,13,10,high,,Last week the Men hosted cross town rival SMU
10/19/2014,TxStW 2,7,2,high,,Recap of Texas St. Women's and UD matches
10/19/2014,TxStW 5,17,8,high,,Recap of Texas St. Women's and UD matches
10/19/2014,TxStW,7,22,high,,Recap of Texas St. Women's and UD matches
10/19/2014,TxStW,17,58,high,,Recap of Texas St. Women's and UD matches
3/24/2014,UD 5,12,3,high,,Texas Cup and Recap of the Cowboy Cup Qualifier
3/24/2014,UNMH 3,17,6,high,,Texas Cup and Recap of the Cowboy Cup Qualifier
